Sr.No,Round�??,Institute�??,Program�??,Stream�??,Quota�??,Category�??,Seat Gender�??,Opening Rank�??,Closing Rank�??,Remark�??
1,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC,Both Male and Female Seats,1297544,1297544,Fresh Only
2,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,360465,1045039,Fresh Only
3,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,425166,541462,Fresh Only
4,Round 1,"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY,JHANSI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,135498,148378,Fresh Only
5,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,188704,229921,Fresh Only
6,Round 1,"G.L. BAJAJ INSTITUTE OF TECHNOLOGY & MANAGEMENT,GAUTAM BUDDH NAGAR",Computer Science and Information Technology,B.Tech,Home State,BC(Girl),Female Seats,288879,420038,Fresh Only
7,Round 1,"RAJKIYA ENGINEERING COLLEGE,BIJNOR",Civil Engineering,B.Tech,Home State,SC(Girl),Female Seats,758096,991302,Fresh Only
8,Round 1,"KAMLA NEHRU INSTITUTE OF PHYSICAL & SOCIAL SCIENCES,SULTANPUR",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,793810,793810,Fresh Only
9,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,442622,549967,Fresh Only
10,Round 1,"Lucknow University, Lucknow",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,271094,271094,Fresh Only
11,Round 1,"VISHVESHWARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,OPEN,Both Male and Female Seats,1050567,1050567,Fresh Only
12,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,851336,851336,Fresh Only
13,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,675659,675659,Fresh Only
14,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,642040,881069,Fresh Only
15,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,93836,144400,Fresh Only
16,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,420860,420860,Fresh Only
17,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science & Engineering (Cyber Security),B.Tech,Home State,BC(Girl),Female Seats,1065238,1065238,Fresh Only
18,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science & Engineering (Artificial Intelligence & data Science),B.Tech,Home State,BC(Girl),Female Seats,562630,647328,Fresh Only
19,Round 1,Maharaja Suhel Dev State University Azamgarh.,Computer Science Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,613140,766267,Fresh Only
20,Round 1,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,145237,392146,Fresh Only
21,Round 1,"Bundelkhand University, Jhansi",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,431104,505085,Fresh Only
22,Round 1,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,SC(Girl),Female Seats,198610,214288,Fresh Only
23,Round 1,"BANSAL INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,1286851,1360451,Fresh Only
24,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,220135,255085,Fresh Only
25,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,544039,544039,Fresh Only
26,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,550659,916770,Fresh Only
27,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Business System,B.Tech,Home State,EWS(GL),Female Seats,614920,614920,Fresh Only
28,Round 1,"INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALIGARH",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,227065,1439930,Fresh Only
29,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication (Advanced Communication Technology) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,217105,232049,Fresh Only
30,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR DIVYANGJAN, U.P., KANPUR",Biotechnology,B.Tech,Home State,BC(Girl),Female Seats,569892,892173,Fresh Only
31,Round 1,"RAJ KUMAR GOEL INSTT. OF TECHNOLOGY,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,896357,1428442,Fresh Only
32,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,410392,856172,Fresh Only
33,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,BC(AF),Both Male and Female Seats,293811,299305,Fresh Only
34,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,245381,803454,Fresh Only
35,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,180901,180901,Fresh Only
36,Round 1,"RAJKIYA ENGINEERING COLLEGE,BANDA",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,122344,138901,Fresh Only
37,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1166402,1166402,Fresh Only
38,Round 1,"CENTRE FOR ADVANCE STUDIES,LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,56747,83788,Fresh Only
39,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,401731,478327,Fresh Only
40,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science,B.Tech,Home State,BC,Both Male and Female Seats,467767,574408,Fresh Only
41,Round 1,"I.M.S. ENGINEERING COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,607859,1375811,Fresh Only
42,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,473430,951451,Fresh Only
